"(116.65099201473933, 39.91699012779446)"
"(116.41946399196792, 39.90218003189807)"
"(116.36057207870772, 39.97529122440304)"
"(116.4618171279858, 39.91511173459419)"
"(116.71182992574747, 39.86438688391503)"
"(116.38923426244196, 39.96322072649646)"
"(116.63187468376839, 39.90112557013695)"
"(116.67501796248544, 39.932553763569985)"
"(116.4422092319421, 39.9650679727184)"
"(116.46086888510986, 39.87494816680686)"
"(116.3098404291396, 39.90002091965605)"
"(116.44229415513834, 39.908228727459175)"
"(116.46182243291113, 39.91511335817513)"
"(116.45400920008242, 39.95648259775227)"
"(116.44646951602674, 39.89021858692803)"
"(116.31672052909138, 39.97171888820243)"
"(116.44052591845943, 39.87525837917473)"
"(116.44162068780753, 39.90763507354775)"
"(116.5816186687141, 39.92601820502683)"
"(116.39761333758112, 39.97355197681533)"
"(116.44443252486533, 39.934353897398424)"
"(116.59709671694877, 39.88902400257009)"
"(116.43139568382128, 39.864460734306064)"
"(116.33402731495616, 39.899706106908624)"
"(116.3680302046086, 39.89283994769934)"
"(116.33942154569291, 39.92600046948408)"
"(116.47903697228264, 39.92320678521276)"
"(116.33711180416012, 39.93088375303189)"
"(116.45579201805258, 39.90611174358061)"
"(116.37495307605379, 39.881240464968855)"
"(116.38241607359463, 39.882943842170235)"
"(116.41433664736218, 39.98278289736069)"
"(116.338498645257, 39.9652722355343)"
"(116.39747882150881, 39.93911167795538)"
"(116.46655024297, 39.891130788519625)"
"(116.36243937615939, 39.948236101027916)"
"(116.39244793944604, 39.89422798400145)"
"(116.48707295377507, 39.96794576917792)"
"(116.39819886355355, 39.870526783154304)"
"(116.45532392364487, 39.92270081710819)"
"(116.33904148979374, 39.89448698882498)"
"(116.40753240611443, 39.99947599576575)"
"(116.30333496079973, 39.961834197015754)"
"(116.44636023099119, 39.85784520261355)"
"(116.42157745325937, 39.948398506024304)"
"(116.40289507725956, 39.96140754204615)"
"(116.28849709593965, 39.983901467926685)"
"(116.2869067151372, 39.878306955983604)"
"(116.66140721936364, 39.91243071380821)"
"(116.30381089200779, 39.91342844667301)"
"(116.4916117765264, 40.015991372621386)"
"(115.97736260283133, 39.70433081309502)"
"(116.38650089700374, 39.904387749332685)"
"(116.45129356365518, 39.83330152777506)"
"(116.40100296169217, 39.85439037461244)"
"(116.50861488288004, 40.01162154987638)"
"(116.43586507996206, 39.871197356363105)"
"(116.40979384696544, 39.89272894901297)"
"(116.35339617119834, 39.847698519205665)"
"(116.37527491523329, 39.83551180760247)"
"(116.3456074966112, 39.936110072046304)"
"(116.36538150067918, 39.90903080825916)"
"(116.28665963786072, 39.92473413751071)"
"(116.39544195430253, 39.89093044175942)"
"(116.35197567235056, 39.865748569848286)"
"(116.38291598507361, 39.85285456104947)"
"(116.43761057527547, 39.96320135899584)"
"(116.30727010029433, 39.897491488273545)"
"(116.40976213958663, 39.996581304740424)"
"(116.51361709593681, 39.97317975118956)"
"(116.3439530680902, 39.98537654682714)"
"(116.46219936669485, 39.97339097660627)"
"(116.29905482574677, 39.97476516284139)"
"(116.39228789148086, 39.938503071179326)"
"(116.51332701850035, 39.93973820439041)"
"(116.36766757076268, 39.89237196585714)"
"(116.43502612183349, 39.89685682822818)"
"(116.35704335369195, 39.84193159233014)"
"(116.39404287017042, 39.832802091528364)"
"(116.34348486917514, 39.92424516266563)"
"(116.41232741714882, 39.80187476541724)"
"(116.50625100160431, 39.72865950363463)"
"(116.58443991096581, 40.07848373481454)"
"(116.3391945120122, 39.865011092819586)"
"(116.56770378478765, 40.03641801814946)"
"(116.58007532828778, 40.04820656816875)"
"(116.39561044654484, 39.85065533394789)"
"(116.4454608560131, 39.859146822827284)"
"(116.36555762948836, 39.85987631467367)"
"(116.24235695393507, 39.92875977218041)"
"(116.33594831971101, 39.9647505624374)"
"(116.47256495449672, 39.905695472114004)"
"(116.44349469908838, 39.882081199019694)"
"(116.44510042375728, 39.97177374898685)"
"(116.32099663122499, 39.93515315623224)"
"(116.41057631709808, 39.97478392280469)"
"(116.56384686052783, 39.97747949801761)"
"(116.3740779212863, 39.97924667646916)"
"(116.34697644893045, 39.975445631105806)"
"(116.41072523960389, 39.84106826144348)"
"(116.51459143364625, 40.01743134085784)"
"(116.58470518864306, 40.07877490569447)"
"(116.2869390881012, 39.87831327847186)"
"(116.34933855695763, 39.93521297083781)"
"(116.37297340356878, 39.97372950424028)"
"(116.36452793387718, 39.90752048818724)"
"(116.3868499457171, 39.94819674856264)"
"(116.37226614436369, 39.92366092595597)"
"(116.34140080577069, 39.88958565461624)"
"(116.4306577528422, 39.90066888101032)"
"(116.41022645201515, 40.00588967714317)"
"(116.36928916260784, 39.898906021979755)"
"(116.3932808745422, 39.788411850505426)"
"(116.41632863055119, 39.78524590619548)"
"(116.34519734403412, 39.894324112997445)"
"(116.389309718709, 39.87022778083639)"
"(116.38023488187604, 39.89849407729133)"
"(116.24264763111921, 39.935440916257015)"
"(116.35972261840618, 40.004882676227176)"
"(116.38097019072791, 39.850350984719135)"
"(116.24233121196835, 39.93661472128335)"
"(116.36404441440672, 39.86164023089705)"
"(116.32084123720878, 39.84694159564496)"
"(116.43021558056728, 39.94776107008109)"
"(116.42926753042772, 39.932485004775074)"
"(116.35979026384494, 39.88861142998233)"
"(116.37166512986921, 39.93311945520698)"
"(116.74321713102859, 40.189284330872354)"
"(116.29340003750355, 40.16946864074261)"
"(116.76983798144867, 40.19886050051461)"
"(116.35291538047721, 39.86585481016752)"
"(116.30228709552527, 39.94272534685027)"
"(116.44771465965341, 39.931953363613)"
"(116.37134563830523, 39.99275713246993)"
"(116.47257833523764, 39.96806118549442)"
"(116.41488007142814, 39.87761877631406)"
"(116.33893460932339, 39.83228374319684)"
"(116.43666857132399, 39.873333386689396)"
"(116.53598648209588, 39.91509589247012)"
"(116.53913620542284, 39.86762601764196)"
"(116.41487064551812, 39.877605665486605)"
"(116.40743317232096, 39.933148061057324)"
"(116.49759673923549, 39.96651114271587)"
"(116.28573079779184, 39.853983913589644)"
"(116.22921180007828, 39.900671788120604)"
"(116.36996197269534, 39.95834241371301)"
"(116.36409919501416, 39.96953743692974)"
"(116.43185212560206, 39.92280807402646)"
"(116.45641241941307, 39.959068306317846)"
